Unnamed: 0,id,isResult,datetime,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,forecast_w,forecast_d,forecast_l
126,11144,True,2019-11-10 13:30:00,236,PFC Sochi,SOC,185,CSKA Moscow,CSK,2,3,1.05111,1.45401,0.253,0.3109,0.4361
127,11148,True,2019-11-10 16:00:00,192,Lokomotiv Moscow,LOK,196,FC Krasnodar,KRA,1,1,1.02031,1.66904,0.1553,0.3053,0.5394
128,11152,True,2019-11-22 16:30:00,237,FC Tambov,TAM,192,Lokomotiv Moscow,LOK,2,3,0.618225,0.834066,0.2466,0.3668,0.3866
129,11158,True,2019-11-23 08:30:00,199,FC Orenburg,ORE,188,FK Akhmat,AKH,1,2,1.8718599999999999,1.19646,0.5305,0.3151,0.1544
130,11155,True,2019-11-23 11:00:00,186,Rubin Kazan,RUB,189,Zenit St. Petersburg,ZEN,1,2,1.0852700000000002,1.7646099999999998,0.1925,0.2688,0.5387
131,11154,True,2019-11-23 13:30:00,190,Dinamo Moscow,DIN,187,FC Rostov,ROS,2,1,2.02484,1.8715400000000002,0.4011,0.2936,0.3053
132,11151,True,2019-11-24 08:30:00,184,FC Ufa,UFA,236,PFC Sochi,SOC,1,1,1.1448200000000002,1.0075,0.3773,0.304,0.3187
133,11157,True,2019-11-24 11:00:00,198,Ural,URA,183,Spartak Moscow,SPA,0,0,0.667782,2.47478,0.037000000000000005,0.1214,0.8416
134,11156,True,2019-11-24 13:30:00,200,Arsenal Tula,ARS,196,FC Krasnodar,KRA,1,2,1.36765,1.3257299999999999,0.3541,0.3029,0.34299999999999997
135,11153,True,2019-11-24 16:00:00,185,CSKA Moscow,CSK,194,Krylya Sovetov Samara,KSS,1,0,1.25424,0.6604760000000001,0.506,0.3062,0.1878
136,11161,True,2019-11-30 11:00:00,194,Krylya Sovetov Samara,KSS,184,FC Ufa,UFA,0,1,0.746984,0.7661100000000001,0.3205,0.3643,0.3152
137,11166,True,2019-11-30 13:30:00,187,FC Rostov,ROS,198,Ural,URA,0,0,0.7928109999999999,0.284262,0.4782,0.4012,0.1206
138,11164,True,2019-11-30 16:00:00,188,FK Akhmat,AKH,186,Rubin Kazan,RUB,1,1,1.314,0.884716,0.4701,0.2995,0.2304
139,11163,True,2019-12-01 13:30:00,192,Lokomotiv Moscow,LOK,190,Dinamo Moscow,DIN,1,2,1.83064,2.1566,0.2902,0.268,0.4418
140,11165,True,2019-12-01 16:00:00,189,Zenit St. Petersburg,ZEN,183,Spartak Moscow,SPA,1,0,1.46174,0.8784049999999999,0.5145,0.2705,0.215
141,11159,True,2019-12-02 16:30:00,196,FC Krasnodar,KRA,237,FC Tambov,TAM,0,0,1.31046,0.7158760000000001,0.5153,0.3312,0.1535
142,11162,True,2019-12-02 16:30:00,185,CSKA Moscow,CSK,200,Arsenal Tula,ARS,0,1,0.7358560000000001,0.9767370000000001,0.2461,0.3432,0.4107
143,11169,True,2019-12-06 16:30:00,200,Arsenal Tula,ARS,192,Lokomotiv Moscow,LOK,4,0,1.3362399999999999,1.11084,0.3937,0.3281,0.2782
144,11172,True,2019-12-06 16:30:00,189,Zenit St. Petersburg,ZEN,190,Dinamo Moscow,DIN,3,0,1.27732,0.258974,0.6673,0.2647,0.068
145,11167,True,2019-12-07 11:00:00,237,FC Tambov,TAM,199,FC Orenburg,ORE,3,0,0.9892629999999999,0.9817809999999999,0.3378,0.3336,0.3286
146,11174,True,2019-12-07 13:30:00,196,FC Krasnodar,KRA,185,CSKA Moscow,CSK,1,1,1.5467600000000001,0.62212,0.6662,0.2506,0.0832
147,11171,True,2019-12-07 16:00:00,188,FK Akhmat,AKH,184,FC Ufa,UFA,0,1,0.411263,0.767775,0.1676,0.4045,0.4279
148,11170,True,2019-12-08 11:00:00,194,Krylya Sovetov Samara,KSS,198,Ural,URA,2,3,0.624894,1.97773,0.0483,0.1548,0.7969
149,11168,True,2019-12-08 13:30:00,236,PFC Sochi,SOC,186,Rubin Kazan,RUB,1,1,1.15856,1.04282,0.3825,0.2997,0.3178
150,11173,True,2019-12-08 16:00:00,183,Spartak Moscow,SPA,187,FC Rostov,ROS,1,4,1.9025900000000002,3.58481,0.0865,0.1427,0.7708
151,11182,True,2020-02-28 15:30:00,194,Krylya Sovetov Samara,KSS,199,FC Orenburg,ORE,1,1,1.63845,1.27373,0.4384,0.3479,0.2137
152,11178,True,2020-02-29 11:00:00,185,CSKA Moscow,CSK,198,Ural,URA,1,1,1.29056,1.2921,0.3497,0.2825,0.3678
153,11179,True,2020-02-29 13:30:00,190,Dinamo Moscow,DIN,183,Spartak Moscow,SPA,0,2,0.7700560000000001,2.0674900000000003,0.0796,0.1839,0.7365
154,11175,True,2020-02-29 16:00:00,189,Zenit St. Petersburg,ZEN,192,Lokomotiv Moscow,LOK,0,0,0.708547,0.792557,0.2836,0.3756,0.3408
155,11180,True,2020-02-29 16:00:00,188,FK Akhmat,AKH,187,FC Rostov,ROS,1,1,1.36668,1.4280899999999999,0.3355,0.3036,0.3609
156,11177,True,2020-03-01 11:00:00,237,FC Tambov,TAM,186,Rubin Kazan,RUB,0,0,0.678873,0.553447,0.3349,0.4052,0.2599
157,11176,True,2020-03-01 13:30:00,196,FC Krasnodar,KRA,184,FC Ufa,UFA,2,0,2.25148,0.273918,0.9095,0.0757,0.0148
158,11181,True,2020-03-01 16:00:00,236,PFC Sochi,SOC,200,Arsenal Tula,ARS,1,2,2.14174,0.954411,0.7038,0.2129,0.0833
159,11188,True,2020-03-07 11:00:00,199,FC Orenburg,ORE,200,Arsenal Tula,ARS,2,0,1.79145,0.651909,0.6805,0.222,0.0975
160,11185,True,2020-03-07 13:30:00,190,Dinamo Moscow,DIN,237,FC Tambov,TAM,1,0,1.25385,0.6633,0.5368,0.3063,0.1569
161,11187,True,2020-03-08 11:00:00,186,Rubin Kazan,RUB,194,Krylya Sovetov Samara,KSS,0,1,0.540871,1.2156200000000001,0.1491,0.3054,0.5455
162,11190,True,2020-03-08 13:30:00,236,PFC Sochi,SOC,198,Ural,URA,2,0,1.34941,0.19904000000000002,0.7494,0.2162,0.0344
